DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17,FOM_COST_ID,SOURCE,NOTES
MSTUART2,MSTUART,Mt Stuart Power Station,QLD1,NQ,357,Kerosene - non aviation,Fossil,1.00862,SCHEDULED,144,0,600,590,600,600,1,1,14400,14400,14400,10.4,12,0.3,5.990506562,82.28607874,MSTUART2,NTNPD,
MSTUART3,MSTUART,Mt Stuart Power Station,QLD1,NQ,357,Kerosene - non aviation,Fossil,1.00862,SCHEDULED,131,0,600,590,600,600,1,1,13100,13100,13100,10.4,12,0.3,5.990506562,82.28607874,MSTUART3,NTNPD,
W/HOE#1,WIVENHOE,WIVENHOE POWER STATION,QLD1,SEQ,345,Hydro,Hydro,0,SCHEDULED,250,62.5,7200,7200,7200,7200,1,1,1250,750,500,7,0,0,0,7,W/HOE#1,NTNPD,
W/HOE#2,WIVENHOE,WIVENHOE POWER STATION,QLD1,SEQ,345,Hydro,Hydro,0,SCHEDULED,250,62.5,7200,7200,7200,7200,1,1,1250,750,500,7,0,0,0,7,W/HOE#2,NTNPD,
TARONG#1,TARONG,TARONG POWER STATION,QLD1,SWQ,455,Black coal,Fossil,0.94117,SCHEDULED,350,140,200,200,240,240,8,8,122500,42000,14000,3.1,9.944751381,0.1,2.766,30.60718232,TARONG#1,NTNPD,
TARONG#4,TARONG,TARONG POWER STATION,QLD1,SWQ,455,Black coal,Fossil,0.94117,SCHEDULED,350,140,200,200,240,240,8,8,122500,42000,14000,3.1,9.944751381,0.1,2.766,30.60718232,TARONG#4,NTNPD,
TARONG#2,TARONG,TARONG POWER STATION,QLD1,SWQ,455,Black coal,Fossil,0.94117,SCHEDULED,350,140,200,200,240,240,8,8,122500,42000,14000,3.1,9.944751381,0.1,2.766,30.60718232,TARONG#2,NTNPD,
TARONG#3,TARONG,TARONG POWER STATION,QLD1,SWQ,455,Black coal,Fossil,0.94117,SCHEDULED,350,140,200,200,240,240,8,8,122500,42000,14000,3.1,9.944751381,0.1,2.766,30.60718232,TARONG#3,NTNPD,
BRAEMAR7,B2PS,BRAEMAR 2 POWER STATION,QLD1,SWQ,662,Coal seam methane,Fossil,0.69137,SCHEDULED,173,0,680,660,660,660,1,1,17300,17300,17300,10.4,12,0.3,5.745362791,79.34435349,BRAEMAR7,NTNPD,
BRAEMAR5,B2PS,BRAEMAR 2 POWER STATION,QLD1,SWQ,662,Coal seam methane,Fossil,0.69137,SCHEDULED,173,0,680,660,660,660,1,1,17300,17300,17300,10.4,12,0.3,5.745362791,79.34435349,BRAEMAR5,NTNPD,
BRAEMAR6,B2PS,BRAEMAR 2 POWER STATION,QLD1,SWQ,662,Coal seam methane,Fossil,0.69137,SCHEDULED,173,0,680,660,660,660,1,1,17300,17300,17300,10.4,12,0.3,5.745362791,79.34435349,BRAEMAR6,NTNPD,
DEVILS_G,DEVILS_G,Devils Gate Power Station,TAS1,TAS,268,Hydro,Hydro,0,SCHEDULED,60,4.8,1070,1070,1790,1790,1,1,300,180,120,7,0,0,0,7,DEVILS_G,NTNPD,
DDPS1,DDPS1,Darling Downs Power Station,QLD1,SWQ,668,Natural Gas (Pipeline),Fossil,0.50624,SCHEDULED,644,0,490,490,380,380,4,4,16100,9660,3220,7,7.826086957,0.3,5.745362791,51.9637088,DDPS1_GT1,NTNPD,
TUNGATIN,TUNGATIN,Tungatinah Power Station,TAS1,TAS,825,Hydro,Hydro,0,SCHEDULED,125,0,590,590,1930,1930,1,1,625,375,250,7,0,0,0,7,REECE1,NTNPD,No entry for TUNGATIN. Using REECE1 instead. Both hydro with similar capacities.
LEM_WIL,LEM_WIL,Lemonthyme / Wilmot Power Station,TAS1,TAS,377,Hydro,Hydro,0,SCHEDULED,82,0,400,400,1170,1170,1,1,410,246,164,7,0,0,0,7,REECE1,NTNPD,No entry for LEM_WIL. Using REECE1 instead. Both hydro with similar capacities.
TRIBUTE,TRIBUTE,Tribute Power Station,TAS1,TAS,625,Hydro,Hydro,0,SCHEDULED,83,0,800,800,1780,1780,1,1,415,249,166,7,0,0,0,7,TRIBUTE,NTNPD,
BBTHREE1,BBP31,Bell Bay Three Power Station,TAS1,TAS,778,Natural Gas (Pipeline),Fossil,0.68462,SCHEDULED,35,0,600,600,600,600,1,1,3500,3500,3500,10.4,12.4137931,0.3,6.617023256,92.54235764,BBTHREE1,NTNPD,
BBTHREE2,BBP31,Bell Bay Three Power Station,TAS1,TAS,778,Natural Gas (Pipeline),Fossil,0.68462,SCHEDULED,35,0,600,600,600,600,1,1,3500,3500,3500,10.4,12.4137931,0.3,6.617023256,92.54235764,BBTHREE2,NTNPD,
BBTHREE3,BBP31,Bell Bay Three Power Station,TAS1,TAS,778,Natural Gas (Pipeline),Fossil,0.68462,SCHEDULED,35,0,600,600,600,600,1,1,3500,3500,3500,10.4,12.4137931,0.3,6.617023256,92.54235764,BBTHREE3,NTNPD,
TVPP104,BBP31,Bell Bay Three Power Station,TAS1,TAS,778,Natural Gas (Pipeline),Fossil,0.70965,SCHEDULED,58,0,600,600,600,600,1,1,5800,5800,5800,10.4,12.85714286,0.3,6.617023256,95.47601331,TVPP104,NTNPD,
LNGS1,LNGS,Laverton North Power Station,VIC1,MEL,742,Natural Gas (Pipeline),Fossil,0.81463783,SCHEDULED,156,0,3330,920,3330,680,1,1,15600,15600,15600,10.4,11.84210526,0.3,6.210841538,83.94943925,Laverton North1,NTNPD,
LNGS2,LNGS,Laverton North Power Station,VIC1,MEL,742,Natural Gas (Pipeline),Fossil,0.81463783,SCHEDULED,156,0,3330,920,3330,680,1,1,15600,15600,15600,10.4,11.84210526,0.3,6.210841538,83.94943925,Laverton North2,NTNPD,
JLA02,JEERA,"Jeeralang ""A"" Power Station",VIC1,LV,279,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,51,0,540,540,540,540,1,1,5100,5100,5100,10.4,15.72052402,0.3,6.705029246,115.8065733,JLA02,NTNPD,
JLA01,JEERA,"Jeeralang ""A"" Power Station",VIC1,LV,279,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,51,0,540,540,540,540,1,1,5100,5100,5100,10.4,15.72052402,0.3,6.705029246,115.8065733,JLA01,NTNPD,
JLA03,JEERA,"Jeeralang ""A"" Power Station",VIC1,LV,279,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,51,0,540,540,540,540,1,1,5100,5100,5100,10.4,15.72052402,0.3,6.705029246,115.8065733,JLA03,NTNPD,
JLA04,JEERA,"Jeeralang ""A"" Power Station",VIC1,LV,279,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,51,0,540,540,540,540,1,1,5100,5100,5100,10.4,15.72052402,0.3,6.705029246,115.8065733,JLA04,NTNPD,
HVGTS,HUNTVGT,Hunter Valley Gas Turbine,NSW1,NCEN,244,Kerosene - non aviation,Fossil,0.94233,SCHEDULED,50,0,60,60,60,60,1,1,5000,5000,5000,10.4,12.85714286,0.3,7.150907655,102.3402413,HVGTS1,NTNPD,
LK_ECHO,LK_ECHO,Lake Echo Power Station,TAS1,TAS,425,Hydro,Hydro,0,SCHEDULED,32,0,1000,1000,1000,1000,1,1,160,96,64,7,0,0,0,7,LK_ECHO,NTNPD,
BASTYAN,BASTYAN,Bastyan Power Station,TAS1,TAS,431,Hydro,Hydro,0,SCHEDULED,80,0.056,740,740,1790,1790,1,1,400,240,160,7,0,0,0,7,BASTYAN,NTNPD,
MINTARO,MINTARO,Mintaro Gas Turbine Station,SA1,NSA,868,Natural Gas (Pipeline),Fossil,0.9619,SCHEDULED,90,0,300,300,300,300,1,1,9000,9000,9000,10.4,12.85714286,0.3,7.082565617,101.461558,MINTARO,NTNPD,
EILDON1,EILDON,EILDON POWER STATION,VIC1,NVIC,199,Hydro,Hydro,0,SCHEDULED,60,18,900,900,900,900,1,1,300,180,120,7,0,0,0,7,EILDON1,NTNPD,
EILDON2,EILDON,EILDON POWER STATION,VIC1,NVIC,199,Hydro,Hydro,0,SCHEDULED,60,18,900,900,900,900,1,1,300,180,120,7,0,0,0,7,EILDON2,NTNPD,
UPPTUMUT,SNOWY2,Tumut Power Station,NSW1,CAN,507,Hydro,Hydro,0,SCHEDULED,616,0,7630,1840,7790,1800,1,1,3080,1848,1232,7,0,0,0,7,TUMUT1_01,NTNPD,
GORDON,GORDON,Gordon Power Station,TAS1,TAS,940,Hydro,Hydro,0,SCHEDULED,432,0,2890,2780,5250,140,1,1,2160,1296,864,7,0,0,0,7,REECE1,NTNPD,No entry for GORDON. Using REECE1 instead. Both hydro.
MOREESF1,MOREESF,MOREE SOLAR FARM,NSW1,NNS,567,Solar,Solar,0,SEMI-SCHEDULED,57,0,3600,3600,3600,3600,0,0,0,0,0,0,3.6,0,0,0,Moree Solar,NTNPD,
TREVALLN,TREVALLN,Trevallyn Power Station,TAS1,TAS,696,Hydro,Hydro,0,SCHEDULED,93,0,500,500,1710,1710,1,1,465,279,186,7,0,0,0,7,REECE1,NTNPD,No entry for TREVALLN. Using REECE1 instead. Both hydro.
TVCC201,TVCCPS,Tamar Valley Combined Cycle Power Station,TAS1,TAS,374,Natural Gas (Pipeline),Fossil,0.45191,SCHEDULED,208,0,430,430,110,540,4,4,5200,3120,1040,7,7.5,0.3,6.617023256,56.62767442,TVCC201,NTNPD,
LKBONNY2,LKBONNY_2,Lake Bonney Stage 2 Windfarm,SA1,SESA,658,Wind,Wind,0,SEMI-SCHEDULED,159,0,780,780,780,780,1,1,795,477,318,0,3.6,0,0,0,LKBONNY2,NTNPD,
